happy,afraid,sad,depressed,angry,surprised,exited,hurt
'You seem to be amused','Don't be in the state horror','Don't be unhappy','You seem to be abandoned','Don't be full of acrimony','You seem to be astonished','You seem to be eager','You seem to be betrayed'
'You seem to be beaming','Don't be horrified','Don't be sorrowful','Don't be achy','Don't be full of animosity','You seem to be shocked','You seem to be enthusiastic','Did sombody let down'
'You seem to blithe','Don't be timid','Don't be gloomy','Don't be afraid','Don't be full of annoyance','You seem to be astounded','You seem to be aroused','You seem to be tendered'
'You seem to be buoyant','Don't be horror-struck','Don't be heartbroken','Don't be agitated','Don't be annoyed','You seem to be bewildered','You seem to be seething','You seem to be wounded'
'You seem to be carefree','Don't be cowed','Don't be sorry','Don't be agony','Don't beoffended','You seem to be startled','You seem to be agoged','You seem to be impaired'
'You seem to be cheerful','Don't be frantic','Don't be depressed','Don't feel alone','Don't besullen','You seem to be confounded','You seem to be thrilled','You seem to be damaged'
'You seem to be a cheery person','Don't be uneasy','Don't be heavy-hearted','Don't be anguished','Don't beuptight','You seem to be dazed','You seem to be wounded-up','You seem to be criticized'
'You seem to be chipper','Don't be shaky','Don't feel crushed','Don't be an antisocial guy','Don't beexasperated','You seem to be stunned','You seem to be frantic','You seem to be abused'
'You seem to be chirpy','Don't be jumpy','Don't feel bitter','Don't be  anxious','Don't beindignant','You seem to be stupefied','You seem to be inflamed','You seem to be '
'You seem to be full of funny content','Don't be shell-shocked','Don't feel melancholic','Don't be  brokendown','Don't beresentful','You seem to be stunned','You seem to be stoked','You seem to be rejected'
'You seem to be contented','Don't be nervy','Don't feel downcast','Don't be broken','Don't bebitter','You seem to be stupefied','You seem to be psyched',
'You seem to be delighted','Don't be jittery','Don't feel pensive','Don't be catatonic','Don't be irated','You seem to be frightened','You seem to be overwrought',
'You seem to be ebullient','Don't be a chicken out','Don't feel mourning','Don't be consumed','Don't befurious','You seem to be alarmed','You seem to be flushed',
'You seem to be ecstatic','Don't be petrified','Don't feel lamenting','Don't be crushed','Don't beoutraged',You seem to be in a shock','You seem to be hysterical',
'You seem to be elated','Don't be scared','Don't feel miserable','Don't start crying','Don't feel cursed','You seem to be astonishment','You seem to be restless',
'You seem to be enraptured','Don't be fearful','Don't feel lugubrious','Don't be defeated','Don't stomp',,'You seem to be stimulated',
'You seem to be euphoric','Don't be frightened','Don't feel low-spirited','Don't be defensive','Don't scream',,'You seem to be so excited',
'You seem to be exhilarated','Don't be terrified','Don't feel weeping','Don't be dejected','Don't yell',,'You seem to be very happy',
'You seem to be exultant','Don't be panicky','Don't feel glum','Don't be demoralized',,,'You seem to be enthusiastic',
'You seem to be funny','Don't be tense','Don't feel pessimistic','Don't be desolate',,,'You seem to be eager',
'You seem to be glad',,'Don't feel triste','Don't be despair',,,'You seem to be pretty excited',
'You seem to be glee',,'Don't feel hopeless','Don't be desperate',,,'You seem to be passionate',
'You seem to be gleeful',,'Don't feel spiritless','Don't be despondent',,,'You seem to be too happy',
'You seem to be gratified',,'Don't feel anxious','Don't be devastated',,,'You seem to be pretty agitated',
'You seem to be grinning',,'Don't feel brokenhearted','Don't be discontented',,,'You seem to be extremely passionate',
